"code","reviewId","sourcePath","rawCardPath","decision","runtimePath","proposedRuntimePath","proposedPackageId","blockReason"
"P2","Gree-GMV-P2","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P2.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P2/P2 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p2.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p2.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P3","Gree-GMV-P3","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P3.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P3/P3 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p3.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p3.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P4","Gree-GMV-P4","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P4.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P4/P4 GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p4.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p4.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P5","Gree-GMV-P5","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P5.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P5/P5 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p5.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p5.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P6","Gree-GMV-P6","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P6.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P6/P6 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p6.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p6.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P7","Gree-GMV-P7","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P7.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P7/P7 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p7.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p7.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P8","Gree-GMV-P8","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P8.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P8/P8 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p8.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p8.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"P9","Gree-GMV-P9","data/reference/gree-official-support-error-catalog/review/Gree-GMV-P9.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-P9/P9 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p9.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/p9.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PA","Gree-GMV-PA","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PA.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PA/PA GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pa.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pa.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"Pc","Gree-GMV-Pc","data/reference/gree-official-support-error-catalog/review/Gree-GMV-Pc.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Pc/PC GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pc.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pc.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PE","Gree-GMV-PE","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PE.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PE/PE GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pe.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pe.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
